date,netflix,twitch,puzzle,spotify
2017-12-31,53,18,40,30
2018-01-07,46,20,39,30
2018-01-14,47,21,37,29
2018-01-21,45,21,38,30
2018-01-28,44,20,38,30
2018-02-04,40,19,39,29
2018-02-11,42,20,37,27
2018-02-18,42,20,39,29
2018-02-25,42,36,35,30
2018-03-04,42,27,34,40
2018-03-11,41,26,36,33
2018-03-18,42,26,36,31
2018-03-25,47,28,35,32
2018-04-01,44,26,35,34
2018-04-08,42,26,34,30
2018-04-15,41,24,35,28
2018-04-22,41,22,33,30
2018-04-29,42,24,32,31
2018-05-06,40,36,31,30
2018-05-13,42,27,33,30
2018-05-20,44,24,32,29
2018-05-27,45,26,32,27
2018-06-03,41,24,32,29
2018-06-10,42,27,30,27
2018-06-17,39,21,30,26
2018-06-24,39,21,28,26
2018-07-01,41,20,30,25
2018-07-08,42,22,32,25
2018-07-15,44,23,33,24
2018-07-22,45,22,31,25
2018-07-29,43,25,30,27
2018-08-05,39,21,32,25
2018-08-12,43,25,34,26
2018-08-19,43,26,39,28
2018-08-26,44,23,35,30
2018-09-02,42,24,34,29
2018-09-09,40,21,41,30
2018-09-16,40,21,41,30
2018-09-23,38,20,38,31
2018-09-30,39,19,35,29
2018-10-07,41,19,35,27
2018-10-14,41,19,35,27
2018-10-21,44,20,35,28
2018-10-28,48,21,36,27
2018-11-04,40,19,39,28
2018-11-11,41,19,41,29
2018-11-18,41,18,43,27
2018-11-25,41,19,44,30
2018-12-02,44,21,46,58
2018-12-09,44,18,48,36
2018-12-16,46,17,43,31
2018-12-23,71,19,46,33
2018-12-30,67,20,42,29
2019-01-06,57,21,40,31
2019-01-13,57,20,40,28
2019-01-20,54,19,37,28
2019-01-27,53,20,42,28
2019-02-03,45,20,40,27
2019-02-10,46,22,38,29
2019-02-17,46,26,37,27
2019-02-24,42,21,37,29
2019-03-03,44,19,37,28
2019-03-10,43,18,37,28
2019-03-17,41,19,35,30
2019-03-24,41,19,35,28
2019-03-31,41,19,35,28
2019-04-07,43,17,33,33
2019-04-14,45,18,40,31
2019-04-21,42,18,39,28
2019-04-28,42,18,36,28
2019-05-05,43,18,36,28
2019-05-12,40,17,35,29
2019-05-19,42,19,33,29
2019-05-26,45,21,32,29
2019-06-02,43,20,32,28
2019-06-09,45,22,32,29
2019-06-16,45,20,31,28
2019-06-23,42,20,30,27
2019-06-30,45,20,30,27
2019-07-07,44,22,31,28
2019-07-14,50,23,33,28
2019-07-21,52,22,31,27
2019-07-28,46,22,32,28
2019-08-04,44,21,32,27
2019-08-11,46,22,32,29
2019-08-18,47,23,34,32
2019-08-25,47,22,33,32
2019-09-01,44,20,33,32
2019-09-08,42,19,32,33
2019-09-15,43,19,34,32
2019-09-22,43,19,36,31
2019-09-29,45,17,36,31
2019-10-06,43,18,35,32
2019-10-13,45,23,38,29
2019-10-20,42,19,36,35
2019-10-27,46,19,40,30
2019-11-03,46,18,39,31
2019-11-10,45,19,42,34
2019-11-17,46,18,46,34
2019-11-24,44,16,45,30
2019-12-01,44,18,47,70
2019-12-08,43,19,48,40
2019-12-15,52,18,48,35
2019-12-22,65,18,49,35
2019-12-29,71,20,48,32
2020-01-05,59,20,46,33
2020-01-12,53,19,41,32
2020-01-19,54,20,41,33
2020-01-26,50,20,40,30
2020-02-02,49,19,38,30
2020-02-09,51,20,38,32
2020-02-16,51,22,39,32
2020-02-23,48,21,40,33
2020-03-01,48,20,39,35
2020-03-08,51,20,36,29
2020-03-15,85,27,52,32
2020-03-22,92,33,78,34
2020-03-29,100,34,100,36
2020-04-05,100,38,96,34
2020-04-12,90,41,93,33
2020-04-19,88,41,80,33
2020-04-26,82,40,76,34
2020-05-03,76,38,62,35
2020-05-10,68,35,58,34
2020-05-17,65,37,50,35
2020-05-24,65,35,47,31
2020-05-31,62,33,45,31
2020-06-07,61,37,44,31
2020-06-14,60,36,43,30
2020-06-21,62,36,40,31
2020-06-28,64,37,40,32
2020-07-05,62,33,39,39
2020-07-12,65,35,39,34
2020-07-19,61,33,40,32
2020-07-26,59,32,38,32
2020-08-02,57,31,38,32
2020-08-09,55,33,38,33
2020-08-16,59,33,38,33
2020-08-23,56,33,37,34
2020-08-30,56,32,38,41
2020-09-06,61,32,37,34
2020-09-13,61,31,37,36
2020-09-20,56,32,36,37
2020-09-27,56,31,37,32
2020-10-04,54,30,38,29
2020-10-11,52,30,41,27
2020-10-18,56,31,41,29
2020-10-25,56,32,43,29
2020-11-01,53,28,43,27
2020-11-08,54,34,49,30
2020-11-15,56,31,52,31
2020-11-22,53,31,55,32
2020-11-29,57,32,60,75
2020-12-06,57,36,60,34
2020-12-13,58,33,56,33
2020-12-20,66,33,55,40
2020-12-27,77,37,60,32
2021-01-03,65,38,53,31
2021-01-10,61,44,50,30
2021-01-17,64,37,50,31
2021-01-24,61,39,48,30
2021-01-31,59,37,47,33
2021-02-07,57,36,45,31
2021-02-14,58,37,46,30
2021-02-21,53,37,44,31
2021-02-28,52,36,43,32
2021-03-07,52,34,42,29
2021-03-14,50,35,42,29
2021-03-21,51,35,39,29
2021-03-28,56,37,39,31
2021-04-04,53,36,40,29
2021-04-11,52,38,40,30
2021-04-18,54,37,39,29
2021-04-25,52,37,39,31
2021-05-02,52,37,39,28
2021-05-09,51,38,37,30
2021-05-16,51,35,37,30
2021-05-23,48,37,36,30
2021-05-30,49,33,37,39
2021-06-06,49,32,37,30
2021-06-13,47,33,38,30
2021-06-20,50,32,36,29
2021-06-27,51,31,35,29
2021-07-04,49,31,35,30
2021-07-11,50,32,35,30
2021-07-18,49,32,37,30
2021-07-25,49,30,37,31
2021-08-01,49,29,36,30
2021-08-08,48,29,38,28
2021-08-15,49,32,36,30
2021-08-22,49,31,37,30
2021-08-29,50,33,35,31
2021-09-05,48,30,38,28
2021-09-12,44,30,38,32
2021-09-19,47,27,37,30
2021-09-26,52,27,37,29
2021-10-03,55,37,38,28
2021-10-10,54,32,39,29
2021-10-17,52,28,40,31
2021-10-24,49,30,40,29
2021-10-31,51,32,41,28
2021-11-07,49,27,45,32
2021-11-14,47,28,46,38
2021-11-21,49,26,47,33
2021-11-28,50,28,48,67
2021-12-05,49,30,52,36
2021-12-12,50,31,52,34
2021-12-19,54,29,48,33
2021-12-26,65,31,52,34
2022-01-02,71,40,57,38
2022-01-09,63,40,48,37
2022-01-16,58,35,43,34
2022-01-23,60,41,46,43
2022-01-30,60,42,49,51
2022-02-06,57,40,46,42
2022-02-13,53,37,45,39
2022-02-20,51,35,43,36
2022-02-27,53,34,42,39
2022-03-06,47,32,40,67
2022-03-13,49,32,39,39
2022-03-20,49,35,40,39
2022-03-27,44,32,41,41
2022-04-03,47,34,42,41
2022-04-10,52,34,40,41
2022-04-17,57,35,38,40
2022-04-24,50,36,38,41
2022-05-01,47,32,37,40
2022-05-08,46,35,35,40
2022-05-15,46,37,34,44
2022-05-22,50,33,35,38
2022-05-29,49,31,35,37
2022-06-05,49,33,34,49
2022-06-12,52,33,36,39
2022-06-19,50,37,35,40
2022-06-26,51,35,35,41
2022-07-03,51,34,36,41
2022-07-10,54,36,35,40
2022-07-17,56,36,39,40
2022-07-24,52,33,37,40
2022-07-31,53,33,35,42
2022-08-07,50,35,37,42
2022-08-14,51,36,38,42
2022-08-21,52,36,38,43
2022-08-28,48,35,36,44
2022-09-04,46,33,36,41
2022-09-11,46,31,36,45
2022-09-18,50,34,37,47
2022-09-25,57,33,37,43
2022-10-02,50,34,36,42
2022-10-09,51,32,37,42
2022-10-16,51,32,38,47
2022-10-23,51,32,41,47
2022-10-30,52,31,42,46
2022-11-06,47,31,44,47
2022-11-13,48,34,48,46
2022-11-20,46,29,46,42
2022-11-27,50,27,49,100
2022-12-04,52,29,51,51
2022-12-11,52,100,54,45
2022-12-18,56,41,49,43
2022-12-25,64,34,56,46
