date,sourdough bread,home workout,gardening,cooking recipes,ikea
2017-12-31,15,16,24,84,85
2018-01-07,16,15,26,74,76
2018-01-14,16,14,27,76,75
2018-01-21,16,13,28,68,71
2018-01-28,16,14,31,70,77
2018-02-04,14,13,31,68,69
2018-02-11,15,12,31,65,71
2018-02-18,15,13,37,68,67
2018-02-25,15,13,34,61,71
2018-03-04,15,12,38,70,68
2018-03-11,15,12,40,62,65
2018-03-18,15,11,40,67,68
2018-03-25,16,12,43,68,70
2018-04-01,14,11,44,61,70
2018-04-08,15,13,46,57,64
2018-04-15,15,12,51,58,62
2018-04-22,16,12,52,57,67
2018-04-29,14,12,59,59,70
2018-05-06,13,12,57,57,65
2018-05-13,13,12,49,56,58
2018-05-20,13,12,50,56,61
2018-05-27,13,12,48,61,65
2018-06-03,13,13,43,59,60
2018-06-10,14,13,41,59,60
2018-06-17,14,12,37,54,61
2018-06-24,13,12,35,55,63
2018-07-01,13,12,35,63,65
2018-07-08,12,13,34,60,66
2018-07-15,13,14,35,59,65
2018-07-22,13,12,33,63,66
2018-07-29,14,12,35,60,70
2018-08-05,14,12,32,60,75
2018-08-12,13,12,31,61,78
2018-08-19,12,12,30,59,77
2018-08-26,12,10,30,54,79
2018-09-02,14,11,32,61,76
2018-09-09,14,11,30,61,73
2018-09-16,14,11,32,63,68
2018-09-23,13,10,28,60,69
2018-09-30,15,10,29,58,71
2018-10-07,14,10,30,61,69
2018-10-14,15,11,26,58,69
2018-10-21,14,10,27,59,65
2018-10-28,14,10,25,62,76
2018-11-04,14,11,26,60,72
2018-11-11,15,10,26,73,70
2018-11-18,15,9,24,71,79
2018-11-25,13,11,25,63,70
2018-12-02,14,10,28,61,74
2018-12-09,13,11,27,61,67
2018-12-16,15,10,23,64,63
2018-12-23,15,11,20,85,79
2018-12-30,18,16,25,78,91
2019-01-06,17,15,27,69,76
2019-01-13,18,14,29,64,75
2019-01-20,18,13,28,61,72
2019-01-27,18,13,29,62,75
2019-02-03,16,13,31,56,70
2019-02-10,17,11,31,64,66
2019-02-17,17,13,37,56,67
2019-02-24,17,13,35,55,68
2019-03-03,17,12,38,58,71
2019-03-10,17,12,38,56,67
2019-03-17,16,12,43,56,64
2019-03-24,17,12,46,54,65
2019-03-31,16,11,46,58,63
2019-04-07,17,11,47,54,64
2019-04-14,17,11,48,57,64
2019-04-21,15,11,50,51,65
2019-04-28,15,11,55,53,68
2019-05-05,15,12,52,50,66
2019-05-12,15,11,48,52,62
2019-05-19,15,11,47,49,63
2019-05-26,15,11,46,50,68
2019-06-02,15,12,45,52,63
2019-06-09,15,12,43,51,64
2019-06-16,16,12,40,52,59
2019-06-23,15,11,40,51,60
2019-06-30,14,12,38,48,67
2019-07-07,15,13,37,53,68
2019-07-14,15,12,37,54,70
2019-07-21,16,12,36,51,68
2019-07-28,16,12,35,51,76
2019-08-04,16,12,33,50,77
2019-08-11,16,11,34,53,81
2019-08-18,15,11,34,54,81
2019-08-25,15,11,34,56,80
2019-09-01,15,11,32,55,79
2019-09-08,15,10,32,55,75
2019-09-15,16,10,33,55,69
2019-09-22,16,11,31,55,73
2019-09-29,16,10,31,56,77
2019-10-06,15,9,30,56,71
2019-10-13,17,10,29,56,72
2019-10-20,16,10,29,55,74
2019-10-27,15,9,27,51,80
2019-11-03,17,10,29,62,81
2019-11-10,18,10,28,58,80
2019-11-17,18,11,29,62,79
2019-11-24,18,10,28,65,78
2019-12-01,16,10,28,53,76
2019-12-08,15,9,28,53,69
2019-12-15,17,10,29,58,69
2019-12-22,18,13,20,76,79
2019-12-29,19,14,25,71,90
2020-01-05,20,14,27,67,82
2020-01-12,20,13,29,61,79
2020-01-19,20,13,30,62,79
2020-01-26,19,14,30,56,75
2020-02-02,19,11,31,51,72
2020-02-09,19,12,32,56,68
2020-02-16,21,13,36,54,72
2020-02-23,21,11,35,55,69
2020-03-01,22,12,39,51,73
2020-03-08,19,17,41,47,60
2020-03-15,38,73,48,59,55
2020-03-22,60,100,65,78,54
2020-03-29,80,93,76,98,60
2020-04-05,100,82,91,100,61
2020-04-12,99,71,89,100,71
2020-04-19,96,63,97,92,77
2020-04-26,100,56,100,93,89
2020-05-03,87,46,100,88,87
2020-05-10,77,44,84,74,97
2020-05-17,73,40,86,75,99
2020-05-24,63,37,77,64,95
2020-05-31,51,34,71,63,100
2020-06-07,47,31,64,65,95
2020-06-14,44,28,61,57,85
2020-06-21,40,27,59,56,87
2020-06-28,38,28,55,62,91
2020-07-05,36,29,51,62,90
2020-07-12,32,28,50,66,90
2020-07-19,30,25,48,59,89
2020-07-26,30,24,48,56,91
2020-08-02,31,23,47,61,87
2020-08-09,28,22,46,58,88
2020-08-16,27,21,47,57,88
2020-08-23,26,21,44,52,97
2020-08-30,26,22,44,54,95
2020-09-06,24,20,45,73,89
2020-09-13,23,19,45,54,85
2020-09-20,24,18,41,53,89
2020-09-27,23,18,42,57,84
2020-10-04,25,19,41,57,91
2020-10-11,24,18,40,55,87
2020-10-18,29,19,37,55,86
2020-10-25,24,18,37,54,83
2020-11-01,21,20,33,51,82
2020-11-08,23,21,39,58,94
2020-11-15,24,21,36,60,90
2020-11-22,24,20,39,64,90
2020-11-29,21,20,39,51,88
2020-12-06,25,19,38,51,90
2020-12-13,23,19,35,53,77
2020-12-20,27,17,28,72,72
2020-12-27,29,25,31,64,97
2021-01-03,28,30,34,58,89
2021-01-10,30,27,35,58,84
2021-01-17,33,26,38,59,90
2021-01-24,30,24,38,63,87
2021-01-31,28,23,41,55,85
2021-02-07,26,22,39,52,77
2021-02-14,26,21,41,52,80
2021-02-21,26,19,50,49,76
2021-02-28,24,20,51,49,79
2021-03-07,24,19,54,46,80
2021-03-14,23,18,55,44,84
2021-03-21,22,18,61,45,80
2021-03-28,25,17,62,48,84
2021-04-04,22,17,61,46,74
2021-04-11,22,18,59,43,78
2021-04-18,21,17,63,45,73
2021-04-25,21,17,64,40,74
2021-05-02,21,19,64,48,76
2021-05-09,21,19,61,45,72
2021-05-16,20,18,54,41,74
2021-05-23,20,17,51,43,76
2021-05-30,20,17,54,45,66
2021-06-06,20,14,51,43,66
2021-06-13,19,15,50,46,61
2021-06-20,21,15,43,45,63
2021-06-27,21,15,41,44,68
2021-07-04,21,14,41,41,68
2021-07-11,19,15,41,43,69
2021-07-18,20,14,42,45,68
2021-07-25,20,15,39,45,72
2021-08-01,21,13,38,43,80
2021-08-08,21,15,38,42,73
2021-08-15,21,13,37,43,74
2021-08-22,20,14,36,44,83
2021-08-29,19,12,36,44,74
2021-09-05,18,12,38,44,71
2021-09-12,19,12,35,43,72
2021-09-19,19,12,37,42,71
2021-09-26,22,12,36,42,71
2021-10-03,20,12,35,46,73
2021-10-10,19,11,34,43,69
2021-10-17,21,12,32,41,73
2021-10-24,21,11,33,43,72
2021-10-31,20,11,32,50,76
2021-11-07,21,12,34,52,75
2021-11-14,21,11,32,48,72
2021-11-21,23,11,32,53,73
2021-11-28,20,12,34,42,69
2021-12-05,21,12,35,41,67
2021-12-12,22,11,34,44,66
2021-12-19,23,13,27,59,54
2021-12-26,24,15,27,55,78
2022-01-02,27,21,32,59,93
2022-01-09,27,17,33,55,81
2022-01-16,25,14,32,47,76
2022-01-23,28,15,33,52,74
2022-01-30,28,15,35,51,77
2022-02-06,25,12,38,46,73
2022-02-13,25,13,39,45,72
2022-02-20,26,13,39,43,66
2022-02-27,24,13,44,43,67
2022-03-06,25,13,47,47,62
2022-03-13,23,13,50,46,63
2022-03-20,22,13,54,46,61
2022-03-27,26,13,50,48,61
2022-04-03,23,13,50,47,63
2022-04-10,24,11,52,45,64
2022-04-17,22,13,51,45,59
2022-04-24,22,12,56,45,62
2022-05-01,21,12,61,42,59
2022-05-08,21,12,59,41,56
2022-05-15,19,12,51,42,53
2022-05-22,19,12,50,42,58
2022-05-29,18,12,47,44,57
2022-06-05,21,14,46,44,55
2022-06-12,20,12,45,45,53
2022-06-19,20,13,41,47,57
2022-06-26,21,12,36,47,59
2022-07-03,21,13,35,45,63
2022-07-10,20,14,36,45,58
2022-07-17,21,14,36,47,60
2022-07-24,20,13,37,46,63
2022-07-31,21,13,34,47,63
2022-08-07,22,12,34,45,67
2022-08-14,21,12,34,54,69
2022-08-21,19,12,33,49,70
2022-08-28,22,11,34,47,67
2022-09-04,20,10,31,45,64
2022-09-11,20,11,31,45,65
2022-09-18,20,11,31,46,63
2022-09-25,21,10,30,47,65
2022-10-02,20,10,29,49,64
2022-10-09,21,10,29,50,66
2022-10-16,23,10,29,44,63
2022-10-23,22,11,30,45,64
2022-10-30,21,11,28,51,69
2022-11-06,24,11,28,48,71
2022-11-13,24,11,29,47,67
2022-11-20,23,10,28,49,67
2022-11-27,21,12,30,44,62
2022-12-04,21,10,29,44,61
2022-12-11,21,10,29,42,59
2022-12-18,24,11,24,55,54
2022-12-25,21,12,23,50,76
